Symbol,Security Name,Date
VUSB,Vanguard Ultra-Short Bond ETF,2021-04-29
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,2021-04-30
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-04-30
EGIS,2ndVote Society Defended ETF,2021-04-30
FDG,American Century Focused Dynamic Growth ETF,2021-04-30
FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,2021-04-30
FLV,American Century Focused Large Cap Value ETF,2021-04-30
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-04-30
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-04-30
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-04-30
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-04-30
VUSB,Vanguard Ultra-Short Bond ETF,2021-04-30
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,2021-05-03
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-03
EGIS,2ndVote Society Defended ETF,2021-05-03
FDG,American Century Focused Dynamic Growth ETF,2021-05-03
FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,2021-05-03
FLV,American Century Focused Large Cap Value ETF,2021-05-03
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-03
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-05-03
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-03
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-05-03
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-03
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,2021-05-04
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-04
EGIS,2ndVote Society Defended ETF,2021-05-04
FDG,American Century Focused Dynamic Growth ETF,2021-05-04
FLV,American Century Focused Large Cap Value ETF,2021-05-04
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-04
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-04
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-05-04
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-04
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-04
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,2021-05-05
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-05
EGIS,2ndVote Society Defended ETF,2021-05-05
FDG,American Century Focused Dynamic Growth ETF,2021-05-05
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-05
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-05
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-05-05
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-05
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-05
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,2021-05-06
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-06
EGIS,2ndVote Society Defended ETF,2021-05-06
FDG,American Century Focused Dynamic Growth ETF,2021-05-06
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-06
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-06
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-05-06
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-06
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-06
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,2021-05-07
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-07
FDG,American Century Focused Dynamic Growth ETF,2021-05-07
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-07
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-07
QMAR,FT Cboe Vest Growth-100 Buffer ETF - March,2021-05-07
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-05-07
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-07
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-07
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-10
FDG,American Century Focused Dynamic Growth ETF,2021-05-10
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-10
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-10
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-10
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-05-10
QMAR,FT Cboe Vest Growth-100 Buffer ETF - March,2021-05-10
QTAP,Innovator Growth Accelerated Plus ETF - April,2021-05-10
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-10
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-10
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-11
FDG,American Century Focused Dynamic Growth ETF,2021-05-11
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-05-11
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-11
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-05-11
QMAR,FT Cboe Vest Growth-100 Buffer ETF - March,2021-05-11
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-11
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-11
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-12
FDG,American Century Focused Dynamic Growth ETF,2021-05-12
KAPR,Innovator Russell 2000 Power Buffer ETF -April,2021-05-12
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-12
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-05-12
QMAR,FT Cboe Vest Growth-100 Buffer ETF - March,2021-05-12
VUSB,Vanguard Ultra-Short Bond ETF,2021-05-12
YMAR,FT Cboe Vest International Equity Buffer ETF - March,2021-05-12
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-13
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-13
FDG,American Century Focused Dynamic Growth ETF,2021-05-13
KAPR,Innovator Russell 2000 Power Buffer ETF -April,2021-05-13
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-13
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-05-13
QMAR,FT Cboe Vest Growth-100 Buffer ETF - March,2021-05-13
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-14
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-14
FDG,American Century Focused Dynamic Growth ETF,2021-05-14
KAPR,Innovator Russell 2000 Power Buffer ETF -April,2021-05-14
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-14
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-05-14
QMAR,FT Cboe Vest Growth-100 Buffer ETF - March,2021-05-14
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-17
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-17
KAPR,Innovator Russell 2000 Power Buffer ETF -April,2021-05-17
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-17
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-05-17
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-18
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-18
KAPR,Innovator Russell 2000 Power Buffer ETF -April,2021-05-18
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-18
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-19
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-19
FRDM,Freedom 100 Emerging Markets ETF,2021-05-19
KAPR,Innovator Russell 2000 Power Buffer ETF -April,2021-05-19
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-20
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-20
FRDM,Freedom 100 Emerging Markets ETF,2021-05-20
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-21
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-21
FRDM,Freedom 100 Emerging Markets ETF,2021-05-21
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-24
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-24
FRDM,Freedom 100 Emerging Markets ETF,2021-05-24
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-25
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-25
FRDM,Freedom 100 Emerging Markets ETF,2021-05-25
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-26
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-26
FRDM,Freedom 100 Emerging Markets ETF,2021-05-26
BUFR,FT Cboe Vest Fund of Buffer ETFs,2021-05-27
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-27
FRDM,Freedom 100 Emerging Markets ETF,2021-05-27
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-27
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-27
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-05-28
FRDM,Freedom 100 Emerging Markets ETF,2021-05-28
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-05-28
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-05-28
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-01
FRDM,Freedom 100 Emerging Markets ETF,2021-06-01
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-06-01
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-01
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-01
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-02
FRDM,Freedom 100 Emerging Markets ETF,2021-06-02
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-06-02
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-02
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-02
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-03
IBMP,iShares iBonds Dec 2027 Term Muni Bond ETF,2021-06-03
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-06-03
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-03
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-03
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-04
IBMP,iShares iBonds Dec 2027 Term Muni Bond ETF,2021-06-04
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-06-04
IPFF,iShares International Preferred Stock ETF,2021-06-04
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-04
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-04
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-07
IBMP,iShares iBonds Dec 2027 Term Muni Bond ETF,2021-06-07
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-06-07
IPFF,iShares International Preferred Stock ETF,2021-06-07
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-07
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-08
IBMP,iShares iBonds Dec 2027 Term Muni Bond ETF,2021-06-08
IGLD,FT Cboe Vest Gold Strategy Target Income ETF,2021-06-08
IPFF,iShares International Preferred Stock ETF,2021-06-08
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-08
DAPR,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,2021-06-09
IBMP,iShares iBonds Dec 2027 Term Muni Bond ETF,2021-06-09
IPFF,iShares International Preferred Stock ETF,2021-06-09
IQDG,WisdomTree International Quality Dividend Growth Fund,2021-06-09
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-09
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-06-09
IBMP,iShares iBonds Dec 2027 Term Muni Bond ETF,2021-06-10
IPFF,iShares International Preferred Stock ETF,2021-06-10
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-10
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-06-10
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-10
IPFF,iShares International Preferred Stock ETF,2021-06-11
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-11
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-11
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-06-11
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-11
IPFF,iShares International Preferred Stock ETF,2021-06-14
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-14
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-14
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-06-14
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-14
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-15
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-15
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-15
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-06-15
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-15
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-16
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,2021-06-16
HYIN,WisdomTree Alternative Income Fund,2021-06-16
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-16
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-16
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-06-16
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-16
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-17
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,2021-06-17
HYIN,WisdomTree Alternative Income Fund,2021-06-17
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-17
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-17
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-17
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-18
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,2021-06-18
HYIN,WisdomTree Alternative Income Fund,2021-06-18
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-18
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-06-18
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-18
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-21
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,2021-06-21
HYIN,WisdomTree Alternative Income Fund,2021-06-21
JUNZ,TrueShares Structured Outcome (June) ETF,2021-06-21
MPRO,Monarch ProCap ETF,2021-06-21
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-21
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-22
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,2021-06-22
HYIN,WisdomTree Alternative Income Fund,2021-06-22
MPRO,Monarch ProCap ETF,2021-06-22
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-06-22
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-23
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,2021-06-23
HYIN,WisdomTree Alternative Income Fund,2021-06-23
MPRO,Monarch ProCap ETF,2021-06-23
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-06-23
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-24
MPRO,Monarch ProCap ETF,2021-06-24
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-06-24
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-25
MPRO,Monarch ProCap ETF,2021-06-25
OSCV,Opus Small Cap Value  ETF,2021-06-25
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-06-25
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-28
MPRO,Monarch ProCap ETF,2021-06-28
OSCV,Opus Small Cap Value  ETF,2021-06-28
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-06-28
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-29
MPRO,Monarch ProCap ETF,2021-06-29
OSCV,Opus Small Cap Value  ETF,2021-06-29
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-06-29
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-06-30
MPRO,Monarch ProCap ETF,2021-06-30
OSCV,Opus Small Cap Value  ETF,2021-06-30
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-06-30
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-06-30
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-01
MPRO,Monarch ProCap ETF,2021-07-01
OSCV,Opus Small Cap Value  ETF,2021-07-01
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-07-01
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-01
VOTE,Engine No. 1 Transform 500 ETF,2021-07-01
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-02
MPRO,Monarch ProCap ETF,2021-07-02
OSCV,Opus Small Cap Value  ETF,2021-07-02
PBSM,Invesco PureBeta MSCI USA Small Cap ETF,2021-07-02
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-02
VOTE,Engine No. 1 Transform 500 ETF,2021-07-02
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-06
MPRO,Monarch ProCap ETF,2021-07-06
OSCV,Opus Small Cap Value  ETF,2021-07-06
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-06
VOTE,Engine No. 1 Transform 500 ETF,2021-07-06
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-07
MPRO,Monarch ProCap ETF,2021-07-07
OSCV,Opus Small Cap Value  ETF,2021-07-07
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-07
VOTE,Engine No. 1 Transform 500 ETF,2021-07-07
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-08
MDEV,First Trust Indxx Medical Devices ETF,2021-07-08
OSCV,Opus Small Cap Value  ETF,2021-07-08
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-08
VOTE,Engine No. 1 Transform 500 ETF,2021-07-08
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-09
MDEV,First Trust Indxx Medical Devices ETF,2021-07-09
OSCV,Opus Small Cap Value  ETF,2021-07-09
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-09
VOTE,Engine No. 1 Transform 500 ETF,2021-07-09
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-12
MDEV,First Trust Indxx Medical Devices ETF,2021-07-12
OSCV,Opus Small Cap Value  ETF,2021-07-12
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-12
VOTE,Engine No. 1 Transform 500 ETF,2021-07-12
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-13
MDEV,First Trust Indxx Medical Devices ETF,2021-07-13
OSCV,Opus Small Cap Value  ETF,2021-07-13
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-13
VOTE,Engine No. 1 Transform 500 ETF,2021-07-13
WLDR,Affinity World Leaders Equity ETF,2021-07-13
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-14
MDEV,First Trust Indxx Medical Devices ETF,2021-07-14
NURE,Nuveen Short-Term REIT ETF,2021-07-14
OSCV,Opus Small Cap Value  ETF,2021-07-14
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-14
VOTE,Engine No. 1 Transform 500 ETF,2021-07-14
WLDR,Affinity World Leaders Equity ETF,2021-07-14
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-15
MDEV,First Trust Indxx Medical Devices ETF,2021-07-15
NURE,Nuveen Short-Term REIT ETF,2021-07-15
OSCV,Opus Small Cap Value  ETF,2021-07-15
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-15
VOTE,Engine No. 1 Transform 500 ETF,2021-07-15
WLDR,Affinity World Leaders Equity ETF,2021-07-15
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-16
NURE,Nuveen Short-Term REIT ETF,2021-07-16
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,2021-07-16
OSCV,Opus Small Cap Value  ETF,2021-07-16
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-16
VOTE,Engine No. 1 Transform 500 ETF,2021-07-16
WLDR,Affinity World Leaders Equity ETF,2021-07-16
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-19
NURE,Nuveen Short-Term REIT ETF,2021-07-19
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,2021-07-19
OSCV,Opus Small Cap Value  ETF,2021-07-19
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-19
VOTE,Engine No. 1 Transform 500 ETF,2021-07-19
WLDR,Affinity World Leaders Equity ETF,2021-07-19
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-20
NURE,Nuveen Short-Term REIT ETF,2021-07-20
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,2021-07-20
PSMG,Invesco Growth Multi-Asset Allocation ETF,2021-07-20
VOTE,Engine No. 1 Transform 500 ETF,2021-07-20
WLDR,Affinity World Leaders Equity ETF,2021-07-20
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-21
NURE,Nuveen Short-Term REIT ETF,2021-07-21
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,2021-07-21
VOTE,Engine No. 1 Transform 500 ETF,2021-07-21
WLDR,Affinity World Leaders Equity ETF,2021-07-21
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,2021-07-22
NURE,Nuveen Short-Term REIT ETF,2021-07-22
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,2021-07-22
VOTE,Engine No. 1 Transform 500 ETF,2021-07-22
WLDR,Affinity World Leaders Equity ETF,2021-07-22
NURE,Nuveen Short-Term REIT ETF,2021-07-23
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,2021-07-23
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-07-23
VOTE,Engine No. 1 Transform 500 ETF,2021-07-23
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-07-23
WLDR,Affinity World Leaders Equity ETF,2021-07-23
NURE,Nuveen Short-Term REIT ETF,2021-07-26
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-07-26
VOTE,Engine No. 1 Transform 500 ETF,2021-07-26
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-07-26
WLDR,Affinity World Leaders Equity ETF,2021-07-26
NURE,Nuveen Short-Term REIT ETF,2021-07-27
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-07-27
VOTE,Engine No. 1 Transform 500 ETF,2021-07-27
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-07-27
WLDR,Affinity World Leaders Equity ETF,2021-07-27
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,2021-07-27
NURE,Nuveen Short-Term REIT ETF,2021-07-28
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-07-28
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-07-28
QCON,American Century Quality Convertible Securities ETF,2021-07-28
VOTE,Engine No. 1 Transform 500 ETF,2021-07-28
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-07-28
WLDR,Affinity World Leaders Equity ETF,2021-07-28
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,2021-07-28
NURE,Nuveen Short-Term REIT ETF,2021-07-29
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-07-29
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-07-29
QCON,American Century Quality Convertible Securities ETF,2021-07-29
VOTE,Engine No. 1 Transform 500 ETF,2021-07-29
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-07-29
WLDR,Affinity World Leaders Equity ETF,2021-07-29
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,2021-07-29
NURE,Nuveen Short-Term REIT ETF,2021-07-30
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-07-30
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-07-30
QCON,American Century Quality Convertible Securities ETF,2021-07-30
UJUL,Innovator S&P 500 Ultra Buffer ETF - July,2021-07-30
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-07-30
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,2021-07-30
NURE,Nuveen Short-Term REIT ETF,2021-08-02
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-08-02
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-08-02
QCON,American Century Quality Convertible Securities ETF,2021-08-02
UJUL,Innovator S&P 500 Ultra Buffer ETF - July,2021-08-02
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-02
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,2021-08-02
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-08-03
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-08-03
QCON,American Century Quality Convertible Securities ETF,2021-08-03
UJUL,Innovator S&P 500 Ultra Buffer ETF - July,2021-08-03
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-03
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,2021-08-03
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-08-04
PSMM,Invesco Moderately Conservative Multi-Asset Allocation ETF,2021-08-04
QCON,American Century Quality Convertible Securities ETF,2021-08-04
UJUL,Innovator S&P 500 Ultra Buffer ETF - July,2021-08-04
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-04
IGV,iShares Expanded Tech-Software Sector ETF,2021-08-05
PSMB,Invesco Balanced Multi-Asset Allocation ETF,2021-08-05
UJUL,Innovator S&P 500 Ultra Buffer ETF - July,2021-08-05
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-08-05
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-05
IGV,iShares Expanded Tech-Software Sector ETF,2021-08-06
STSB,iShares Factors US Small Blend Style ETF,2021-08-06
UJUL,Innovator S&P 500 Ultra Buffer ETF - July,2021-08-06
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-08-06
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-06
IGV,iShares Expanded Tech-Software Sector ETF,2021-08-09
STSB,iShares Factors US Small Blend Style ETF,2021-08-09
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-08-09
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-09
IGV,iShares Expanded Tech-Software Sector ETF,2021-08-10
STSB,iShares Factors US Small Blend Style ETF,2021-08-10
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-08-10
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-10
IGV,iShares Expanded Tech-Software Sector ETF,2021-08-11
STSB,iShares Factors US Small Blend Style ETF,2021-08-11
UVXY,ProShares Ultra VIX Short-Term Futures ETF,2021-08-11
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,2021-08-11
IGV,iShares Expanded Tech-Software Sector ETF,2021-08-12
